Ind. No.,C/R,Sex,Status,Error,Age-mat.,Age-total,Age-final,Habitat,Date,Month,Year,Time of day,Behaviour,BM,SH,SCL,MCW,MaxCW,MPL,MaxPL,AbSL,AnSL,ANW,BL_L,BL_R,Scars / Damages,Ticks,Notes ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,M,Immature,NO,,8,,NA,21/04/2019,April,2019,13:00-15:00,,347,NA,113,NA,NA,,,,,,,,,,,,,,,,,,,,,,
2,C,M,Immature,NO,,10,,NA,21/04/2019,April,2019,13:00-15:00,,448,NA,123,101,104,,,,,,,,,,,,,,,,,,,,,,
3,C,F,Adult,NO,,10.-11.,11,Degraded forest,21/04/2019,April,2019,13:00-15:00,,1439,NA,192,138,149,,,,,,,,,,,,,,,,,,,,,,
3,R,F,Adult,NO,11,12,12,Degraded forest,24/06/2021,June,2021,08:58:22,Resting in shade,1639,98,200,143,154,,,,,,,,,11,11 ticks of which 4 big,,,,,,,,,,,,
4,C,M,Adult,NO,,,,NA,21/04/2019,April,2019,13:00-15:00,,862, NA,164,123,131,,,,,,,,no 90 & 100 damaged,,,,,,,,,,,,,,44
5,C,M,Adult,NO,,11.-12.,,NA,21/04/2019,April,2019,13:00-15:00,,NA,NA,154,122,125,,,,,,,,,,,,,,,,,,,,,,126
6,C,F,Adult,NO,,,,Degraded forest,21/04/2019,April,2019,13:00-15:00,,2063,NA,222,156,168,,,,,,,,,,,,,,,,,,,,,,172
6,R,F,Adult,NO,,15-25,,Degraded forest,07/05/2021,May,2021,16:00:36,Resting in shade,1975,106,215,156,168,,,,,,,,,0,"1st vertebral starlike, 6 vertebral, 2&3rd are asymmetrical",,,,,,,,,,,,172
7,C,F,Immature,NO,,,,NA,21/04/2019,April,2019,13:00-15:00,,415,NA,121,93,95,,,,,,,,left side of carapace damaged,,,,,,,,,,,,,,466
8,C,M,Immature,NO,,,,NA,21/04/2019,April,2019,13:00-15:00,,827,NA,141,121,136,,,,,,,,,yes,,,,,,,,,,,,,467
9,C,F,Adult,NO,,,,NA,05/10/2019,May,2019,15:00-15:30,,1039,82,160,132,137,,,,,,,,,,,,,,,,,,,,,,467
10,C,M,Adult,NO,10,10,,NA,05/10/2019,May,2019,16:00-16:30,,688,73,146,145,122,,,,,,,,,,,,,,,,,,,,,,468
11,C,F,Adult,NO,,,,Meadow,05/10/2019,May,2019,16:30-17:00,,1324,88,174,138,138,,,,,,,,,,,,,,,,,,,,,,468
11,R,F,Adult,NO,,15-25,,Meadow,01/05/2021,May,2021,17:23:13,Burrowed,1240,86,175,139,139,,,,,,,,,0,no nuchal scut,,,,,,,,,,,,
11,R,F,Adult,NO,,15-25,,Degraded forest,10/05/2021,May,2021,16:07:09,Moving,1214,88,176,139,139,,,,,,,,,4,Nuchal not visible from above.,,,,,,,,,,,,
11,R,F,Adult,NO,,15-25,,Meadow,23/05/2021,May,2021,18:43:10,Mating,1239,88,174,139,139,,,,,,,,,0,Nuchal not visible from above. Found mating with 310.,,,,,,,,,,,,
12,C,M,Immature,NO,,,,NA,05/10/2019,May,2019,16:30-17:00,,806,75,153,124,128,,,,,,,,,,11 m L & R narrow,,,,,,,,,,,,
